,title,link
74,Clay concretion,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m30523fdc91e7d44338a0e712b7d25dfef
75,Clay concretion,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m37fe5c5a8894d44a3bc208438c284f927
76,Clay concretion,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m3420056eece354939b6f57d954bce3c43
77,C.M. Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAH-2003-24836
78,Cassius Marcellus Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_78_5Clay-000001
79,John Bruce Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-S_NPG_2002_184_401
80,Joseph Clay Neal,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_91_92
81,Helen Clay Frick,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-S_NPG_92_50
82,Cassius M. Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_81_M59
83,Cassius Marcellus Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-S_NPG_83_284_49Clay-000001
84,12c Clay single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-1980_2493_0783
85,Cassius M. Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_81_M3457_2
86,Cassius M. Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_81_M62
87,Cassius M. Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_81_M60
88,Cassius M. Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_81_M3985
89,Cassius M. Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_81_M3457_1
90,Cassius M. Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_81_M61
91,Samuel Clay Williams,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_78_TC813Williams-000001
92,Pipe Depicting Henry Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAH-ET2016-8086
93,Thomas H. Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_81_M559_2a
94,Thomas H. Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_81_M557
95,Thomas H. Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_81_M558
96,Thomas H. Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_81_M559_1a
97,Clement Comer Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-S_NPG_66_8Clay-000001
98,"Booklet, ""Clay Minstrel"", 1844",https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAH-AHB2017q021119
99,Biography of Henry Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-AD-NPG_79_20_e
100,15c indigo Clay single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-1980_2493_1591
101,15c Henry Clay single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-1980_2493_1690
102,12c Henry Clay single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-1980_2493_0743
103,12c Henry Clay single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-0_260305_152_82_1
104,Sedimentary Rock Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m30c14e48852784140b5a8c27512742cfb
105,"Clement Claiborne Clay, Jr.",https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-S_NPG_87_42_22
106,"Henry Clay Campaign Ribbon, 1844",https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAH-ET2016-07575
107,Henry Clay and Helen Frick,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_81_121Fricks_d1
108,"patent model, clay pulverizer",https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAH-AHB2016q060053
109,Here's to You Henry Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_84_11
110,12c Clay with Grill single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-1980_2493_0716
111,Sedimentary Rock Clay Concretions,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m3b9cbde55751e4fba86f98c2f97ff7ca7
112,Sedimentary Rock Clay Concretions,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m3c02b6826d5d04172a3791160aa6b29ff
113,Dionysia bornmuelleri (Pax) Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m319e812530a584177896a125beb2ca235
114,"""Henry Clay"" cigar box",https://ids.si.edu/ids/deliveryService?max_w=550&id=CHSDM-6A7FA147A5282-000001
115,Biography of Henry Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAH-AHB2014q066574
116,12c Henry Clay single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2005.2001.461
117,15c Henry Clay single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2005_2001_36a
118,12c Henry Clay single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-260305_152_82_2a
119,Henry Clay Frick and his Daughter Helen,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_92_30-000002
120,Autograph written by Cassius Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-2018_33_001
